iv,iv_list,split_list,var_name,woe_list
0.917829283,0.273246992,"(-INF,0.0]",rate_if_both_numsplit,-0.650662021
0.917829283,0.200141293,"(0.0,0.004048583]",rate_if_both_numsplit,1.436162246
0.917829283,0.334823467,"(0.004048583,0.0106382979]",rate_if_both_numsplit,1.733009868
0.917829283,0.10961753,"(0.0106382979,+INF)",rate_if_both_numsplit,1.252592291
0.147669529,0.001917525,"(-INF,0.0]",rate_num_dup_cnt,0.061875871
0.147669529,0.013897772,"(0.0,0.00496627245]",rate_num_dup_cnt,0.503621724
0.147669529,0.000249794,"(0.00496627245,0.008454909565]",rate_num_dup_cnt,0.067588067
0.147669529,0.029476214,"(0.008454909565,0.01240850056]",rate_num_dup_cnt,0.698831398
0.147669529,0.00018958,"(0.01240850056,0.01770435143]",rate_num_dup_cnt,0.059255575
0.147669529,0.004321922,"(0.01770435143,0.0251046025]",rate_num_dup_cnt,-0.308956093
0.147669529,0.000560193,"(0.0251046025,0.0348837209]",rate_num_dup_cnt,0.100377889
0.147669529,0.007646724,"(0.0348837209,0.06]",rate_num_dup_cnt,-0.360025275
0.147669529,0.074686141,"(0.06,0.102078057475]",rate_num_dup_cnt,-1.670189418
0.147669529,0.014723664,"(0.102078057475,+INF)",rate_num_dup_cnt,-0.443840148
0.093597451,0.009115036,"(-INF,0.6964285714]",rate_num_sj_cnt,-0.459974349
0.093597451,0.003521972,"(0.6964285714,0.82033755275]",rate_num_sj_cnt,0.249165299
0.093597451,7.15E-05,"(0.82033755275,0.862962963]",rate_num_sj_cnt,-0.039353477
0.093597451,0.00925587,"(0.862962963,0.89297752813]",rate_num_sj_cnt,0.410678698
0.093597451,0.002415087,"(0.89297752813,0.9230769231]",rate_num_sj_cnt,-0.179033557
0.093597451,0.017747644,"(0.9230769231,0.938281162852]",rate_num_sj_cnt,0.502119094
0.093597451,0.002113214,"(0.938281162852,0.9512195122]",rate_num_sj_cnt,0.15808147
0.093597451,0.000928165,"(0.9512195122,0.9583333333]",rate_num_sj_cnt,-0.135611075
0.093597451,0.00085895,"(0.9583333333,0.9661016949]",rate_num_sj_cnt,0.114156957
0.093597451,0.000148263,"(0.9661016949,0.97376911492]",rate_num_sj_cnt,-0.045889236
0.093597451,0.009707274,"(0.97376911492,0.9782608696]",rate_num_sj_cnt,0.428386078
0.093597451,7.70E-05,"(0.9782608696,0.9826086957]",rate_num_sj_cnt,-0.041267546
0.093597451,0.002647932,"(0.9826086957,0.988717532455]",rate_num_sj_cnt,0.183842156
0.093597451,0.034989566,"(0.988717532455,+INF)",rate_num_sj_cnt,-0.422637219
0.169322464,0.089203303,"(-INF,0.0]",rate_num_gh_cnt,-0.83448893
0.169322464,0.009287275,"(0.0,0.011300410134]",rate_num_gh_cnt,0.385250971
0.169322464,0.003235609,"(0.011300410134,0.0174216028]",rate_num_gh_cnt,0.200773246
0.169322464,0.000590462,"(0.0174216028,0.0224719101]",rate_num_gh_cnt,-0.105857337
0.169322464,0.007817859,"(0.0224719101,0.031638120362]",rate_num_gh_cnt,0.282890934
0.169322464,0.000682084,"(0.031638120362,0.0394736842]",rate_num_gh_cnt,-0.103595746
0.169322464,0.004416061,"(0.0394736842,0.0452488688]",rate_num_gh_cnt,0.295438472
0.169322464,0.00283241,"(0.0452488688,0.0526315789]",rate_num_gh_cnt,-0.23797784
0.169322464,0.002673738,"(0.0526315789,0.06162632284]",rate_num_gh_cnt,0.226103779
0.169322464,0.017002133,"(0.06162632284,0.08]",rate_num_gh_cnt,0.451424557
0.169322464,0.004432801,"(0.08,0.106324609296]",rate_num_gh_cnt,-0.268217725
0.169322464,0.009551581,"(0.106324609296,0.13687852714]",rate_num_gh_cnt,0.414664857
0.169322464,0.000110352,"(0.13687852714,0.180211111128]",rate_num_gh_cnt,-0.048787509
0.169322464,0.005100894,"(0.180211111128,0.3035714286]",rate_num_gh_cnt,0.296811751
0.169322464,0.012385902,"(0.3035714286,+INF)",rate_num_gh_cnt,-0.546985726
0.061027995,0.014819123,"(-INF,0.0]",rate_ex_short_cnt,-0.157789347
0.061027995,0.000302066,"(0.0,0.005783035336]",rate_ex_short_cnt,0.06058033
0.061027995,0.010536353,"(0.005783035336,0.0085470085]",rate_ex_short_cnt,0.441293334
0.061027995,0.005027749,"(0.0085470085,0.0215827338]",rate_ex_short_cnt,0.214341323
0.061027995,0.00026836,"(0.0215827338,0.0350877193]",rate_ex_short_cnt,-0.077162489
0.061027995,0.029875853,"(0.0350877193,0.0883534137]",rate_ex_short_cnt,0.709154307
0.061027995,0.000198492,"(0.0883534137,+INF)",rate_ex_short_cnt,0.064671195
0.013589975,8.21E-05,"(-INF,0.0]",rate_ex_long_cnt,-0.010140704
0.013589975,0.002281271,"(0.0,0.0058823529]",rate_ex_long_cnt,-0.176549464
0.013589975,0.010926807,"(0.0058823529,0.0115384615]",rate_ex_long_cnt,0.427374444
0.013589975,0.000299776,"(0.0115384615,+INF)",rate_ex_long_cnt,-0.067736541
0.44151447,0.131356698,"(-INF,0.0]",rate_with_86_cnt,-0.445277125
0.44151447,0.130843505,"(0.0,0.0071428571]",rate_with_86_cnt,1.390010351
0.44151447,0.0387983,"(0.0071428571,0.012147080565]",rate_with_86_cnt,0.823994541
0.44151447,0.084882367,"(0.012147080565,0.0238095238]",rate_with_86_cnt,1.076004579
0.44151447,0.0556336,"(0.0238095238,+INF)",rate_with_86_cnt,0.741599064
0.269703534,0.026757869,"(-INF,0.0]",rate_with_space_cnt,-0.174437544
0.269703534,0.242945665,"(0.0,+INF)",rate_with_space_cnt,1.582530074
0.334159826,0.084358175,"(-INF,0.0]",rate_without_space_cnt,-0.346441366
